Original Entry,Title,Year,Format,TMDB Search JSON,TMDB ID,TMDB Rating,Genre,Poster Path,Cover URL,Cover Image,Runtime (min),Overview,Release Date,Watched?,My Rating (1-5),Notes,TMDB Source URL,Match Status
The Grudge 3 (2009),The Grudge 3,2009,Blu-ray,,1977,5.426,"Mystery, Horror, Thriller",/uEOWWRr8BbgPM0BiJiSTwHGaRx4.jpg,https://image.tmdb.org/t/p/w342/uEOWWRr8BbgPM0BiJiSTwHGaRx4.jpg,,90,"Jake Kimble, the sole survivor of the Chicago massacre, is killed while in solitary confinement. His doctor begins investigating the claims he made about a long-haired woman in white, as a mysterious Japanese woman arrives at his old apartment building to help them get rid of the curse.",2009-05-12,Watched,5,,https://www.themoviedb.org/movie/1977,Matched
Guardians of the Galaxy (2014),Guardians of the Galaxy,2014,Blu-ray,,118340,7.905,"Action, Science Fiction, Adventure",/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,https://image.tmdb.org/t/p/w342/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,,121,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",2014-07-30,Watched,4,,https://www.themoviedb.org/movie/118340,Matched
Hacksaw Ridge (2016),Hacksaw Ridge,2016,Blu-ray,,324786,8.2,"Drama, History, War",/fnOMP6mjmOmZwmlC1n0K7ivrzt1.jpg,https://image.tmdb.org/t/p/w342/fnOMP6mjmOmZwmlC1n0K7ivrzt1.jpg,,139,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",2016-10-07,Unwatched,,,https://www.themoviedb.org/movie/324786,Matched
Halloween (2018),Halloween,2018,Blu-ray,,424139,6.565,"Horror, Thriller",/f7JAX5EGk4GgsEnus6OxyzwpFp7.jpg,https://image.tmdb.org/t/p/w342/f7JAX5EGk4GgsEnus6OxyzwpFp7.jpg,,106,"Laurie Strode comes to her final confrontation with Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.",2018-10-18,Watched,3,,https://www.themoviedb.org/movie/424139,Matched
Halloween (1978),Halloween,1978,Blu-ray,,948,7.558,"Horror, Thriller",/wijlZ3HaYMvlDTPqJoTCWKFkCPU.jpg,https://image.tmdb.org/t/p/w342/wijlZ3HaYMvlDTPqJoTCWKFkCPU.jpg,,91,"Fifteen years after murdering his sister on Halloween Night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",1978-10-24,Watched,5,,https://www.themoviedb.org/movie/948,Matched
Halloween (2007),Halloween,2007,Blu-ray,,2082,6.236,Horror,/cD8JrfSEI4j7WVnKM1GdiYzMoUh.jpg,https://image.tmdb.org/t/p/w342/cD8JrfSEI4j7WVnKM1GdiYzMoUh.jpg,,110,"The early years of young Michael Myers and the events leading up to his fateful Halloween night murder rampage in the quiet town of Haddonfield, Illinois.",2007-08-31,Unwatched,,,https://www.themoviedb.org/movie/2082,Matched
Halloween Ends (2022),Halloween Ends,2022,Blu-ray,,616820,6.033,"Horror, Thriller",/q06saepaXeBdkMibuN4R2fXmgIw.jpg,https://image.tmdb.org/t/p/w342/q06saepaXeBdkMibuN4R2fXmgIw.jpg,,111,"Four years after the events of Halloween in 2018, Laurie has decided to liberate herself from fear and rage and embrace life. But when a young man is accused of killing a boy he was babysitting, it ignites a cascade of violence and terror that will force Laurie to finally confront the evil she can’t control, once and for all.",2022-10-12,Watched,5,,https://www.themoviedb.org/movie/616820,Matched
Halloween II (2009),Halloween II,2009,Blu-ray,,24150,5.319,Horror,/vSHPM4LQDpWdQrD5KZWK6wNqSOD.jpg,https://image.tmdb.org/t/p/w342/vSHPM4LQDpWdQrD5KZWK6wNqSOD.jpg,,105,"Laurie Strode struggles to come to terms with her brother Michael's deadly return to Haddonfield, Illinois. Meanwhile, Michael prepares for another reunion with his sister.",2009-08-28,Unwatched,,,https://www.themoviedb.org/movie/24150,Matched
Halloween II (1981),Halloween II,1981,Blu-ray,,11281,6.6,Horror,/3nX5HHGgOKaVMxXwMLT9DHO1Ne6.jpg,https://image.tmdb.org/t/p/w342/3nX5HHGgOKaVMxXwMLT9DHO1Ne6.jpg,,92,"After failing to kill stubborn survivor Laurie and taking a bullet or six from former psychiatrist Dr. Sam Loomis, Michael Myers has followed Laurie to the Haddonfield Memorial Hospital, where she's been admitted for Myers' attempt on her life. The institution proves to be particularly suited to serial killers, however, as Myers cuts, stabs and slashes his way through hospital staff to reach his favorite victim.",1981-10-30,Unwatched,,,https://www.themoviedb.org/movie/11281,Matched
Halloween III: Season of the Witch (1982),Halloween III: Season of the Witch,1982,Blu-ray,,10676,5.247,"Horror, Science Fiction, Mystery",/WABfdeaThFYXCySGIOvRNv2sSW.jpg,https://image.tmdb.org/t/p/w342/WABfdeaThFYXCySGIOvRNv2sSW.jpg,,98,"After a terrified toy salesman is mysteriously attacked and brought to the hospital, clutching the year's most popular Halloween mask, Dr. Daniel Challis sets out to investigate the strange events and finds himself thrust into a nightmarish conspiracy.",1982-10-22,Unwatched,,,https://www.themoviedb.org/movie/10676,Matched
Halloween Kills (2021),Halloween Kills,2021,Blu-ray,,610253,6.408,Horror,/ir9eyz1mtgsohjvo7UYtqUfFuES.jpg,https://image.tmdb.org/t/p/w342/ir9eyz1mtgsohjvo7UYtqUfFuES.jpg,,105,"Michael manages to free himself from Laurie Strode's trap to resume his ritual bloodbath. As she fights for her life from injuries from their last encounter, she inspires her daughter Karen, her granddaughter Allyson, and all of Haddonfield to rise up against the unstoppable monster.",2021-10-14,Watched,4,,https://www.themoviedb.org/movie/610253,Matched
Hancock (2008),Hancock,2008,Blu-ray,,8960,6.355,"Fantasy, Action",/7DyuV2G0hLEqHeueDfOqhZ2DVut.jpg,https://image.tmdb.org/t/p/w342/7DyuV2G0hLEqHeueDfOqhZ2DVut.jpg,,92,"Hancock is a down-and-out superhero who's forced to employ a PR expert to help repair his image when the public grows weary of all the damage he's inflicted during his lifesaving heroics. The agent's idea of imprisoning the antihero to make the world miss him proves successful, but will Hancock stick to his new sense of purpose or slip back into old habits?",2008-07-01,Watched,5,,https://www.themoviedb.org/movie/8960,Matched
The Hangover (2009),The Hangover,2009,Blu-ray,,18785,7.331,Comedy,/A0uS9rHR56FeBtpjVki16M5xxSW.jpg,https://image.tmdb.org/t/p/w342/A0uS9rHR56FeBtpjVki16M5xxSW.jpg,,100,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",2009-06-02,Watched,3,,https://www.themoviedb.org/movie/18785,Matched
The Hangover Part II (2011),The Hangover Part II,2011,Blu-ray,,45243,6.5,Comedy,/cKZu0Fdkj7dmwbfMpgDqVVCkLJQ.jpg,https://image.tmdb.org/t/p/w342/cKZu0Fdkj7dmwbfMpgDqVVCkLJQ.jpg,,102,"The Hangover crew heads to Thailand for Stu's wedding. After the disaster of a bachelor party in Las Vegas last year, Stu is playing it safe with a mellow pre-wedding brunch. However, nothing goes as planned and Bangkok is the perfect setting for another adventure with the rowdy group.",2011-05-25,Watched,3,,https://www.themoviedb.org/movie/45243,Matched
The Hangover Part III (2013),The Hangover Part III,2013,Blu-ray,,109439,6.2,Comedy,/vtxuPWkdllLNLVyGjKYa267ntuH.jpg,https://image.tmdb.org/t/p/w342/vtxuPWkdllLNLVyGjKYa267ntuH.jpg,,100,"This time, there's no wedding. No bachelor party. What could go wrong, right? But when the Wolfpack hits the road, all bets are off.",2013-05-23,Unwatched,,,https://www.themoviedb.org/movie/109439,Matched
