Original Entry,Title,Year,Format,TMDB Search JSON,TMDB ID,TMDB Rating,Genre,Poster Path,Cover URL,Cover Image,Runtime (min),Overview,Release Date,Watched?,My Rating (1-5),Notes,TMDB Source URL,Match Status
"10,000 B.C. (2008)","10,000 B.C.",2008,Blu-ray,,7840,5.504,"Adventure, Action, Drama, Fantasy",/9I7gV6wRbGnbfI3XOKjHeLMjYEo.jpg,https://image.tmdb.org/t/p/w342/9I7gV6wRbGnbfI3XOKjHeLMjYEo.jpg,,109,A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.,2008-03-04,Unwatched,,,https://www.themoviedb.org/movie/7840,Matched
2001: A Space Odyssey (1968),2001: A Space Odyssey,1968,Blu-ray,,62,8.049,"Science Fiction, Mystery, Adventure",/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg,https://image.tmdb.org/t/p/w342/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg,,149,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",1968-04-02,Unwatched,,,https://www.themoviedb.org/movie/62,Matched
3 from Hell (2019),3 from Hell,2019,Blu-ray,,489064,5.8,"Horror, Thriller",/iaURDnsqwTpFdg7RuizUp0nI2I4.jpg,https://image.tmdb.org/t/p/w342/iaURDnsqwTpFdg7RuizUp0nI2I4.jpg,,115,"After barely surviving a furious shootout with the police, Baby Firefly, Otis Driftwood and Captain Spaulding are behind bars. But pure evil cannot be contained. Teaming up with Otis’ half-brother Winslow, the demented Firefly clan escape to unleash a whole new wave of murder, madness and mayhem.",2019-09-16,Unwatched,,,https://www.themoviedb.org/movie/489064,Matched
30 Days of Night (2007),30 Days of Night,2007,Blu-ray,,4513,6.4,"Horror, Thriller",/7LwSrvFA0gz1KAlcrGcinoQPene.jpg,https://image.tmdb.org/t/p/w342/7LwSrvFA0gz1KAlcrGcinoQPene.jpg,,113,"This is the story of an isolated Alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. As the last rays of light fade, the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. Only the small town's husband-and-wife Sheriff team stand between the survivors and certain destruction.",2007-10-17,Unwatched,,,https://www.themoviedb.org/movie/4513,Matched
30 Minutes or Less (2011),30 Minutes or Less,2011,Blu-ray,,62206,5.8,"Action, Adventure, Comedy",/12VgS5G6OG7ANKrSbhtUD2POHb8.jpg,https://image.tmdb.org/t/p/w342/12VgS5G6OG7ANKrSbhtUD2POHb8.jpg,,83,"Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and advise him that he has mere hours to rob a bank or else...",2011-08-11,Watched,3,,https://www.themoviedb.org/movie/62206,Matched
The 40-Year-Old Virgin (2005),The 40-Year-Old Virgin,2005,Blu-ray,,6957,6.422,"Comedy, Romance",/mVeoqL37gzhMXQVpONi9DGOQ3tZ.jpg,https://image.tmdb.org/t/p/w342/mVeoqL37gzhMXQVpONi9DGOQ3tZ.jpg,,116,"Andy Stitzer has a pleasant life with a nice apartment and a job stamping invoices at an electronics store. But at age 40, there's one thing Andy hasn't done, and it's really bothering his sex-obsessed male co-workers: Andy is still a virgin. Determined to help Andy get laid, the guys make it their mission to de-virginize him. But it all seems hopeless until Andy meets small business owner Trish, a single mom.",2005-08-11,Watched,4,,https://www.themoviedb.org/movie/6957,Matched
42 (2013),42,2013,Blu-ray,,109410,7.196,Drama,/iZ7jVGQWj3eBUdqwAPUlKk0BaS2.jpg,https://image.tmdb.org/t/p/w342/iZ7jVGQWj3eBUdqwAPUlKk0BaS2.jpg,,128,"In 1947, Jackie Robinson becomes the first Black man to play in Major League Baseball facing unabashed racism from the public, the press and other players.",2013-04-12,Unwatched,,,https://www.themoviedb.org/movie/109410,Matched
[REC] (2007),[REC],2007,Blu-ray,,8329,7.227,"Horror, Mystery",/hgyJR4sgMsee6xMFM3xYiG6cDCh.jpg,https://image.tmdb.org/t/p/w342/hgyJR4sgMsee6xMFM3xYiG6cDCh.jpg,,78,A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.,2007-11-23,Watched,4,,https://www.themoviedb.org/movie/8329,Matched
[REC] 2 (2009),[REC] 2,2009,Blu-ray,,10664,6.628,"Thriller, Horror",/4JG5WKfIGD6r7hdbqJVr2WKIxEe.jpg,https://image.tmdb.org/t/p/w342/4JG5WKfIGD6r7hdbqJVr2WKIxEe.jpg,,84,"The action continues from [REC], with the medical officer and a SWAT team outfitted with video cameras are sent into the sealed off apartment to control the situation.",2009-09-15,Unwatched,,,https://www.themoviedb.org/movie/10664,Matched
[REC] 4: Apocalipsis (2014),[REC] 4: Apocalipsis,2014,Blu-ray,,185341,5.619,"Thriller, Horror",/vbflx4rDj3YrRAAk4HSWsEgZVlK.jpg,https://image.tmdb.org/t/p/w342/vbflx4rDj3YrRAAk4HSWsEgZVlK.jpg,,95,"Ángela Vidal, the young television reporter who entered the building with the firemen, manages to make it out alive. But what the soldiers don't know is that she carries the seed of the strange infection. She is to be taken to a provisional quarantine facility, a high-security installation where she will have to stay in isolation for several days. An old oil tanker, miles off shore and surrounded by water on all sides, has been especially equipped for the quarantine.",2014-10-31,Unwatched,,,https://www.themoviedb.org/movie/185341,Matched
[REC]³: Genesis (2012),[REC]³: Genesis,2012,Blu-ray,,80280,5.3,Horror,/tI1534q0Up7PBcLdXdFerLmIXn3.jpg,https://image.tmdb.org/t/p/w342/tI1534q0Up7PBcLdXdFerLmIXn3.jpg,,80,A pair of newlyweds must fight to survive when their wedding reception descends into chaos and carnage when their guests become infected by a virus that turns them into hungry zombies.,2012-03-30,Unwatched,,,https://www.themoviedb.org/movie/80280,Matched
The ABCs of Death (2012),The ABCs of Death,2012,Blu-ray,,87436,4.953,Horror,/k3TcTGCgvvvhAiW9pkyWNz9CoNN.jpg,https://image.tmdb.org/t/p/w342/k3TcTGCgvvvhAiW9pkyWNz9CoNN.jpg,,129,"An ambitious anthology film featuring segments directed by over two dozen of the world's leading talents in contemporary genre film. Inspired by children's educational ABC books, the film comprises 26 individual chapters, each helmed by a different director assigned a letter of the alphabet. The directors were then given free reign in choosing a word to create a story involving death.",2013-03-08,Unwatched,,,https://www.themoviedb.org/movie/87436,Matched
Ace Ventura: Pet Detective (1994),Ace Ventura: Pet Detective,1994,Blu-ray,,3049,6.6,"Comedy, Crime, Mystery",/pqiRuETmuSybfnVZ7qyeoXhQyN1.jpg,https://image.tmdb.org/t/p/w342/pqiRuETmuSybfnVZ7qyeoXhQyN1.jpg,,86,"He's Ace Ventura: Pet Detective. The Ace is on the case to find the Miami Dolphins' missing mascot and quarterback Dan Marino. He goes eyeball to eyeball with a man-eating shark, stakes out the Miami Dolphins and woos and wows the ladies. Whether he's undercover, under fire or underwater, he always gets his man… or beast!",1994-02-04,Watched,5,,https://www.themoviedb.org/movie/3049,Matched
Adventureland (2009),Adventureland,2009,Blu-ray,,16614,6.399,"Comedy, Drama, Romance",/eeSJNAR1aWcgANq26KWIHm3cbyB.jpg,https://image.tmdb.org/t/p/w342/eeSJNAR1aWcgANq26KWIHm3cbyB.jpg,,107,"It's the summer of 1987, and recent college grad James Brennan can't wait to begin his long-anticipated dream trip to Europe. Unfortunately, James' plans come to a screeching halt when his parents announce that they are unable to subsidize his trip. Forced to take a job at the local amusement park, James prepares for the worst summer ever, until he finds love with a captivating co-worker named Em.",2009-04-03,Watched,4,,https://www.themoviedb.org/movie/16614,Matched
"Alexander and the Terrible, Horrible, No Good, Very Bad Day (2014)","Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,Blu-ray,,218778,6.2,"Family, Comedy",/pxbAepXQjsGFDHaR3dPndFSxDU0.jpg,https://image.tmdb.org/t/p/w342/pxbAepXQjsGFDHaR3dPndFSxDU0.jpg,,81,"Alexander's day begins with gum stuck in his hair, followed by more calamities. Though he finds little sympathy from his family and begins to wonder if bad things only happen to him, his mom, dad, brother, and sister all find themselves living through their own terrible, horrible, no good, very bad day.",2014-10-08,Watched,,,https://www.themoviedb.org/movie/218778,Matched
All Hallows' Eve (2013),All Hallows' Eve,2013,Blu-ray,,231001,5.652,Horror,/bSe8CBqK8HkbP6sqZWzcJfQV9Ci.jpg,https://image.tmdb.org/t/p/w342/bSe8CBqK8HkbP6sqZWzcJfQV9Ci.jpg,,82,"While watching two children on Halloween night, a babysitter finds an old VHS tape in the kids' trick or treat bag. The tape features three tales of terror, all linked together by a murderous clown.",2013-10-29,Watched,3,,https://www.themoviedb.org/movie/231001,Matched
American Sniper (2014),American Sniper,2014,Blu-ray,,190859,7.412,"War, Action",/vJgtfUmZE5i4L12sOryAPuBa04K.jpg,https://image.tmdb.org/t/p/w342/vJgtfUmZE5i4L12sOryAPuBa04K.jpg,,133,"U.S. Navy SEAL Chris Kyle takes his sole mission—protect his comrades—to heart and becomes one of the most lethal snipers in American history. His pinpoint accuracy not only saves countless lives but also makes him a prime target of insurgents. Despite grave danger and his struggle to be a good husband and father to his family back in the States, Kyle serves four tours of duty in Iraq. However, when he finally returns home, he finds that he cannot leave the war behind.",2014-12-25,Unwatched,,,https://www.themoviedb.org/movie/190859,Matched
Amusement (2008),Amusement,2008,Blu-ray,,13803,5.608,"Horror, Mystery",/1XosEzjwTxL4NrVhn7ldunA3kfr.jpg,https://image.tmdb.org/t/p/w342/1XosEzjwTxL4NrVhn7ldunA3kfr.jpg,,85,"While being interrogated by a police psychiatrist, the near-catatonic Tabitha tries to explain why she and two of her childhood friends are being hunted by a serial killer. The truth that's dying to come out weaves together three tragic secrets from their past. Two of the girls' boyfriends become unwitting targets in their deadly game.",2008-10-09,Watched,4,,https://www.themoviedb.org/movie/13803,Matched
Anchorman 2: The Legend Continues (2013),Anchorman 2: The Legend Continues,2013,Blu-ray,,109443,6.147,Comedy,/BAdmxMdCqzjs6hx3KuEtnoWP8d.jpg,https://image.tmdb.org/t/p/w342/BAdmxMdCqzjs6hx3KuEtnoWP8d.jpg,,119,"With the 70s behind him, San Diego's top rated newsman, Ron Burgundy, returns to take New York's first 24-hour news channel by storm.",2013-12-18,Watched,2,,https://www.themoviedb.org/movie/109443,Matched
Annabelle (2014),Annabelle,2014,Blu-ray,,250546,5.79,Horror,/yLsuU2P2SpDYFwtZQ7dtfVAf6TE.jpg,https://image.tmdb.org/t/p/w342/yLsuU2P2SpDYFwtZQ7dtfVAf6TE.jpg,,99,A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.,2014-10-01,Watched,3,,https://www.themoviedb.org/movie/250546,Matched
Annabelle Comes Home (2019),Annabelle Comes Home,2019,Blu-ray,,521029,6.41,Horror,/qWsHMrbg9DsBY3bCMk9jyYCRVRs.jpg,https://image.tmdb.org/t/p/w342/qWsHMrbg9DsBY3bCMk9jyYCRVRs.jpg,,106,"Determined to keep Annabelle from wreaking more havoc, demonologists Ed and Lorraine Warren bring the possessed doll to the locked artifacts room in their home, placing her “safely” behind sacred glass and enlisting a priest’s holy blessing. But an unholy night of horror awaits as Annabelle awakens the evil spirits in the room, who all set their sights on a new target—the Warrens' ten-year-old daughter, Judy, and her friends.",2019-06-26,Unwatched,,,https://www.themoviedb.org/movie/521029,Matched
Annabelle: Creation (2017),Annabelle: Creation,2017,Blu-ray,,396422,6.609,Horror,/tb86j8jVCVsdZnzf8I6cIi65IeM.jpg,https://image.tmdb.org/t/p/w342/tb86j8jVCVsdZnzf8I6cIi65IeM.jpg,,110,"Several years after the tragic death of their little girl, a doll maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, soon becoming the target of the doll maker's possessed creation—Annabelle.",2017-08-03,Unwatched,,,https://www.themoviedb.org/movie/396422,Matched
Aquaman (2018),Aquaman,2018,Blu-ray,,297802,6.9,"Action, Adventure, Fantasy",/ufl63EFcc5XpByEV2Ecdw6WJZAI.jpg,https://image.tmdb.org/t/p/w342/ufl63EFcc5XpByEV2Ecdw6WJZAI.jpg,,143,"Half-human, half-Atlantean Arthur Curry is taken on the journey of his lifetime to discover if he is worth of being a king.",2018-12-07,Unwatched,,,https://www.themoviedb.org/movie/297802,Matched
"As Above, So Below (2014)","As Above, So Below",2014,Blu-ray,,256274,6.74,"Horror, Thriller",/oJZSajKLJkoTOzSZQN2ZwRnPwHZ.jpg,https://image.tmdb.org/t/p/w342/oJZSajKLJkoTOzSZQN2ZwRnPwHZ.jpg,,93,"When a team of explorers venture into the catacombs that lie beneath the streets of Paris, they uncover the dark secret that lies within this city of the dead.",2014-08-14,Watched,4,,https://www.themoviedb.org/movie/256274,Matched
Audition (1999),Audition,1999,Blu-ray,,29545,4,,/8Bnqect4lPvc4o2cONsrFuoSzrX.jpg,https://image.tmdb.org/t/p/w342/8Bnqect4lPvc4o2cONsrFuoSzrX.jpg,,88,"Surrender Cinema has been known for their extremely erotic, almost explicit sci-fi films. While they generally do very well at these (Femalien 1 &amp; 2, Virtual Encounters), this particular entry seems to be just a rehash of old tape. Any number of girls -- some recognizable and others not -- are in this film in all stages of nudity. There are also several clips from other films which are outstanding, unless you've seen those other films. There are a number of solo nude scenes doing a number of things -- some playing basketball, others talking, still others playing with themselves. The only thing of value in this tape is the very last scene -- a short but erotic girl-girl scene with a very enthusiastic and enjoyable Sandy Wasko and a more subdued Tammie Hainum.",1999-01-01,Unwatched,,,https://www.themoviedb.org/movie/29545,Matched
The Autopsy of Jane Doe (2016),The Autopsy of Jane Doe,2016,Blu-ray,,397243,6.833,"Horror, Mystery",/6K0wjP8kPCiPYy9PtXBGuypyt5I.jpg,https://image.tmdb.org/t/p/w342/6K0wjP8kPCiPYy9PtXBGuypyt5I.jpg,,86,"Father and son coroners receive a mysterious unidentified corpse with no apparent cause of death. As they attempt to examine the ""Jane Doe,"" they discover increasingly bizarre clues that hold the key to her terrifying secrets.",2016-12-21,Watched,3,,https://www.themoviedb.org/movie/397243,Matched
Bad Grandpa (2013),Bad Grandpa,2013,Blu-ray,,208134,6.153,Comedy,/dDSMzBEaM0LYSy9Muo0zsCo77Vh.jpg,https://image.tmdb.org/t/p/w342/dDSMzBEaM0LYSy9Muo0zsCo77Vh.jpg,,92,"86-year-old Irving Zisman is on a journey across America with the most unlikely companion: his 8 year-old grandson, Billy.",2013-10-22,Watched,,,https://www.themoviedb.org/movie/208134,Matched
Bad Santa (2003),Bad Santa,2003,Blu-ray,,10147,6.567,"Drama, Comedy, Crime",/rfClLIyeHqpMofmrPY8DaLe4z9x.jpg,https://image.tmdb.org/t/p/w342/rfClLIyeHqpMofmrPY8DaLe4z9x.jpg,,92,"You'd better watch out - Willie T. Soke is coming to town, and he doesn't care if you've been naughty or nice. Willie's favorite holiday tradition is to fill his sacks with loot lifted from shopping malls across the country. But this year his plot gets derailed by a wisecracking store detective, a sexy bartender, and a kid who's convinced Willie is the real Santa Claus.",2003-11-26,Watched,,,https://www.themoviedb.org/movie/10147,Matched
Batman Begins (2005),Batman Begins,2005,Blu-ray,,272,7.725,"Drama, Crime, Action",/sPX89Td70IDDjVr85jdSBb4rWGr.jpg,https://image.tmdb.org/t/p/w342/sPX89Td70IDDjVr85jdSBb4rWGr.jpg,,140,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",2005-06-10,Unwatched,,,https://www.themoviedb.org/movie/272,Matched
Battle Royale (2000),Battle Royale,2000,Blu-ray,,3176,7.3,"Drama, Thriller, Action",/aLGKAQKgzWpJ6egyWzzC11jXBRJ.jpg,https://image.tmdb.org/t/p/w342/aLGKAQKgzWpJ6egyWzzC11jXBRJ.jpg,,113,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",2000-12-16,In Progress,,,https://www.themoviedb.org/movie/3176,Matched
Behind the Mask: The Rise of Leslie Vernon (2006),Behind the Mask: The Rise of Leslie Vernon,2006,Blu-ray,,10961,6.461,"Comedy, Horror, Thriller",/vie8a3z219Zsw81eAsM58B6VFEn.jpg,https://image.tmdb.org/t/p/w342/vie8a3z219Zsw81eAsM58B6VFEn.jpg,,91,"The next great psycho horror slasher has given a documentary crew exclusive access to his life as he plans his reign of terror over the sleepy town of Glen Echo, all the while deconstructing the conventions and archetypes of the horror genre for them.",2006-08-29,Watched,4,,https://www.themoviedb.org/movie/10961,Matched
The Big Lebowski (1998),The Big Lebowski,1998,Blu-ray,,115,7.839,"Comedy, Crime",/3bv6WAp6BSxxYvB5ozKFUYuRA8C.jpg,https://image.tmdb.org/t/p/w342/3bv6WAp6BSxxYvB5ozKFUYuRA8C.jpg,,117,"Jeffrey 'The Dude' Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",1998-03-06,Watched,4,,https://www.themoviedb.org/movie/115,Matched
The Black Phone (2021),The Black Phone,2021,Blu-ray,,756999,7.522,"Horror, Thriller",/p9ZUzCyy9wRTDuuQexkQ78R2BgF.jpg,https://image.tmdb.org/t/p/w342/p9ZUzCyy9wRTDuuQexkQ78R2BgF.jpg,,103,"Finney Blake, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.",2022-06-16,Watched,4,,https://www.themoviedb.org/movie/756999,Matched
Black Phone 2 (2025),Black Phone 2,2025,Blu-ray,,1197137,6.715,"Horror, Thriller",/gFddBLQ8wj9M9O82iPzgX5KVNHz.jpg,https://image.tmdb.org/t/p/w342/gFddBLQ8wj9M9O82iPzgX5KVNHz.jpg,,114,"Four years after defeating The Grabber, Finney Blake is struggling with life after captivity. When his younger sister Gwen begins receiving calls in her dreams from the Black Phone and seeing disturbing visions of three boys being stalked at a winter camp, the siblings become determined to solve the mystery and confront a killer who has grown more powerful in death and more significant to them than either could imagine.",2025-10-15,Watched,3,,https://www.themoviedb.org/movie/1197137,Matched
Black Sheep (2006),Black Sheep,2006,Blu-ray,,3603,5.772,"Horror, Comedy",/b6Spp82Tg8rv4YUSHGWFqFbgp0q.jpg,https://image.tmdb.org/t/p/w342/b6Spp82Tg8rv4YUSHGWFqFbgp0q.jpg,,86,"After a childhood prank by his brother Angus causes Henry to develop a phobia of sheep, he must step up to the onslaught of a genetically-mutated man-eating flock with the help of his friend and a young environmentalist.",2006-09-10,Watched,4,,https://www.themoviedb.org/movie/3603,Matched
Blade Runner 2049 (2017),Blade Runner 2049,2017,Blu-ray,,335984,7.594,"Science Fiction, Drama",/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,https://image.tmdb.org/t/p/w342/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,,164,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",2017-10-04,Unwatched,,,https://www.themoviedb.org/movie/335984,Matched
Blood Fest (2018),Blood Fest,2018,Blu-ray,,472226,5.363,"Comedy, Horror",/v7x4P33lZwstVgxlZGze18hBlD.jpg,https://image.tmdb.org/t/p/w342/v7x4P33lZwstVgxlZGze18hBlD.jpg,,93,"Fans flock to a festival celebrating the most iconic horror movies, only to discover that the charismatic showman behind the event has a diabolical agenda.",2018-08-17,Watched,5,,https://www.themoviedb.org/movie/472226,Matched
Blue Planet II (TV Series) (2017),Blue Planet II (TV Series),2017,Blu-ray (Season 2),,,,,,,,,,,Unwatched,,,,No TMDB match / check title-year
Boogie Nights (1997),Boogie Nights,1997,Blu-ray,,4995,7.632,"Drama, Comedy",/wnE24UPCPQsQnbBOu4zVE2qaDNm.jpg,https://image.tmdb.org/t/p/w342/wnE24UPCPQsQnbBOu4zVE2qaDNm.jpg,,156,"In 1977, an idealistic porn producer and his promising protege try to catch up with the end of an era before their never-ending party collides with cold, hard reality.",1997-10-07,Watched,4,,https://www.themoviedb.org/movie/4995,Matched
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,Blu-ray,,496,6.786,Comedy,/kfkyALfD4G1mlBJI1lOt2QCra4i.jpg,https://image.tmdb.org/t/p/w342/kfkyALfD4G1mlBJI1lOt2QCra4i.jpg,,84,"Kazakh journalist Borat Sagdiyev travels to America to make a documentary. As he zigzags across the nation, Borat meets real people in real situations with hysterical consequences. His backwards behavior generates strong reactions around him exposing prejudices and hypocrisies in American culture.",2006-11-01,Watched,4,,https://www.themoviedb.org/movie/496,Matched
The Bourne Identity (2002),The Bourne Identity,2002,Blu-ray,,2501,7.5,"Action, Drama, Mystery, Thriller",/aP8swke3gmowbkfZ6lmNidu0y9p.jpg,https://image.tmdb.org/t/p/w342/aP8swke3gmowbkfZ6lmNidu0y9p.jpg,,119,"Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spy—but who does he work for?",2002-06-14,Unwatched,,,https://www.themoviedb.org/movie/2501,Matched
Bride of Chucky (1998),Bride of Chucky,1998,Blu-ray,,11932,6.1,"Horror, Comedy",/yaIPNOcC7ZRuwH3maNwP9qzIo5G.jpg,https://image.tmdb.org/t/p/w342/yaIPNOcC7ZRuwH3maNwP9qzIo5G.jpg,,89,"For ten years, the tortured soul of serial killer Charles Lee Ray has been imprisoned inside a child's doll. Chucky is reborn when his old flame, Tiffany, rescues his battered doll parts from a police impound. But Chucky wants his new playmate cut down to size, so he transforms his blushing bride into a stunning little terror. Chucky and Tiffany can't wait to start their own homicidal honeymoon. When this demonic duo hits the road and hooks up with a pair of unsuspecting newlyweds, they leave a trail of murder and mayhem behind them. Chucky's back!",1998-10-15,Watched,,,https://www.themoviedb.org/movie/11932,Matched
Brüno (2009),Brüno,2009,Blu-ray,,18480,5.637,Comedy,/wcUc7TYtsb72dHVb51sYaGIvQsr.jpg,https://image.tmdb.org/t/p/w342/wcUc7TYtsb72dHVb51sYaGIvQsr.jpg,,83,Flamboyantly gay Austrian television reporter Bruno stirs up trouble with unsuspecting guests and large crowds through brutally frank interviews and painfully hilarious public displays of homosexuality.,2009-07-08,Watched,,,https://www.themoviedb.org/movie/18480,Matched
Bugonia (2025),Bugonia,2025,Blu-ray,,701387,7.324,"Science Fiction, Thriller, Comedy",/oxgsAQDAAxA92mFGYCZllgWkH9J.jpg,https://image.tmdb.org/t/p/w342/oxgsAQDAAxA92mFGYCZllgWkH9J.jpg,,119,"Two conspiracy obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth.",2025-10-23,Unwatched,,,https://www.themoviedb.org/movie/701387,Matched
Cabin Fever (2002),Cabin Fever,2002,Blu-ray,,11547,5.691,Horror,/vaUkSL7PbeeKfdFKOh9TYR9M1ds.jpg,https://image.tmdb.org/t/p/w342/vaUkSL7PbeeKfdFKOh9TYR9M1ds.jpg,,93,"A group of five college graduates rent a cabin in the woods and begin to fall victim to a horrifying flesh-eating virus, which attracts the unwanted attention of the homicidal locals.",2003-08-15,Watched,3,,https://www.themoviedb.org/movie/11547,Matched
The Cabin in the Woods (2011),The Cabin in the Woods,2011,Blu-ray,,22970,6.648,"Horror, Mystery, Comedy",/zZZe5wn0udlhMtdlDjN4NB72R6e.jpg,https://image.tmdb.org/t/p/w342/zZZe5wn0udlhMtdlDjN4NB72R6e.jpg,,95,"Five friends set out for a weekend at a remote cabin in the woods, expecting nothing more than fun and relaxation. As night falls, they discover that something far more unsettling is at work and that nothing about their getaway is what it seems.",2012-04-12,Watched,5,,https://www.themoviedb.org/movie/22970,Matched
The Campaign (2012),The Campaign,2012,Blu-ray,,77953,5.839,Comedy,/jMWjJ13sFTT07DwjNlqh8VY4sK6.jpg,https://image.tmdb.org/t/p/w342/jMWjJ13sFTT07DwjNlqh8VY4sK6.jpg,,85,Two rival politicians compete to win an election to represent their small North Carolina congressional district in the United States House of Representatives.,2012-08-09,Watched,2,,https://www.themoviedb.org/movie/77953,Matched
Cannibal Holocaust (1980),Cannibal Holocaust,1980,Blu-ray,,8689,6.264,Horror,/otxZzMh53TsN7yYFqSZ3rwH1yMd.jpg,https://image.tmdb.org/t/p/w342/otxZzMh53TsN7yYFqSZ3rwH1yMd.jpg,,95,A New York University professor returns from a rescue mission to the Amazon rainforest with the footage shot by a lost team of documentarians who were making a film about the area's local cannibal tribes.,1980-02-07,Watched,1,,https://www.themoviedb.org/movie/8689,Matched
Caveat (2020),Caveat,2020,Blu-ray,,744746,6.355,"Horror, Mystery",/nbug05AceVU8PMXIONDFxMRtq54.jpg,https://image.tmdb.org/t/p/w342/nbug05AceVU8PMXIONDFxMRtq54.jpg,,88,A lone drifter suffering from partial memory loss accepts a job to look after a psychologically troubled woman in an abandoned house on an isolated island.,2021-10-20,Unwatched,,,https://www.themoviedb.org/movie/744746,Matched
Child's Play (1988),Child's Play,1988,Blu-ray,,10585,6.747,Horror,/wvpgvcWNkF2HLuTEMIM7K83MvZ.jpg,https://image.tmdb.org/t/p/w342/wvpgvcWNkF2HLuTEMIM7K83MvZ.jpg,,87,"After being shot in a toy store, a serial killer transfers his soul into a Good Guy doll. A mother then gifts it to her 6-year old son Andy, which unleashes terror upon the city.",1988-11-09,Watched,5,,https://www.themoviedb.org/movie/10585,Matched
Child's Play 2 (1990),Child's Play 2,1990,Blu-ray,,11186,6.365,Horror,/2tPQbPQeHEYAGoXFSW61IWNmoce.jpg,https://image.tmdb.org/t/p/w342/2tPQbPQeHEYAGoXFSW61IWNmoce.jpg,,84,"Chucky is reconstructed by a toy factory to dispel the negative publicity surrounding the doll, and tracks young Andy Barclay to a foster home where the chase begins again.",1990-11-09,Watched,4,,https://www.themoviedb.org/movie/11186,Matched
Child's Play 3 (1991),Child's Play 3,1991,Blu-ray,,11187,5.907,"Horror, Thriller",/6toMk9OCuDYEEf733Bzlq3yiw3z.jpg,https://image.tmdb.org/t/p/w342/6toMk9OCuDYEEf733Bzlq3yiw3z.jpg,,90,"Eight years after seemingly destroying the killer doll, teen Andy Barclay is placed in a military school, and the spirit of Chucky returns to renew his quest and seek vengeance after being recreated from a mass of melted plastic.",1991-08-30,Watched,4,,https://www.themoviedb.org/movie/11187,Matched
A Clockwork Orange (1971),A Clockwork Orange,1971,Blu-ray,,185,8.2,"Science Fiction, Crime",/4sHeTAp65WrSSuc05nRBKddhBxO.jpg,https://image.tmdb.org/t/p/w342/4sHeTAp65WrSSuc05nRBKddhBxO.jpg,,137,"In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?",1971-10-28,Unwatched,,,https://www.themoviedb.org/movie/185,Matched
Close Encounters of the Third Kind (1977),Close Encounters of the Third Kind,1977,Blu-ray,,840,7.35,"Science Fiction, Drama",/yaPx3cK9zGFX3SbcKwxWM1QIbUh.jpg,https://image.tmdb.org/t/p/w342/yaPx3cK9zGFX3SbcKwxWM1QIbUh.jpg,,137,"After an encounter with UFOs, an electricity linesman feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen.",1977-12-14,Unwatched,,,https://www.themoviedb.org/movie/840,Matched
